epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,2471.26,0.24611,0.23884,0.79029,0.99977,1,0.995,0.986,0.22706,0.22039,0.79746,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,2504.16,0.24396,0.2409,0.79128,0.99973,1,0.995,0.98598,0.21061,0.21441,0.7955,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,2535.48,0.24318,0.23197,0.79373,0.99975,1,0.995,0.98515,0.21828,0.21777,0.79527,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,2567.53,0.24931,0.24203,0.80203,0.99973,1,0.995,0.98301,0.21567,0.21913,0.79691,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,2596.61,0.24062,0.22995,0.79676,0.99972,1,0.995,0.98567,0.2168,0.21503,0.7963,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,2626.59,0.23921,0.23322,0.78857,0.99973,1,0.995,0.98714,0.21851,0.21504,0.79646,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,2656.54,0.23631,0.23031,0.79003,0.99974,1,0.995,0.98753,0.21582,0.21411,0.79634,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,2687.87,0.23929,0.22991,0.79286,0.99974,1,0.995,0.97902,0.22168,0.2113,0.79727,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,2719.75,0.23827,0.22907,0.78956,0.99975,1,0.995,0.98715,0.21312,0.21078,0.79499,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,2757.94,0.24163,0.22743,0.78886,0.99975,1,0.995,0.9882,0.21084,0.20621,0.79439,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,2788.82,0.23093,0.22148,0.7903,0.99974,1,0.995,0.98606,0.21333,0.21308,0.79447,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,2818.34,0.23148,0.22261,0.79344,0.99976,1,0.995,0.98896,0.21084,0.20985,0.79658,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,2847.67,0.22656,0.21621,0.78619,0.99976,1,0.995,0.9857,0.21546,0.20357,0.79587,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,2878.39,0.23053,0.22095,0.78559,0.99977,1,0.995,0.98682,0.21254,0.20282,0.79637,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,2908.92,0.2331,0.2215,0.79515,0.99976,1,0.995,0.98582,0.21104,0.20609,0.79703,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,2940.96,0.22715,0.21611,0.79224,0.99977,1,0.995,0.98711,0.21205,0.19582,0.79705,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
